origin_text	ner_tagged_text
국내에도 산타마리아노벨라 제품을 찾아볼 수는 있지만, 현지에서 구매하는 것보다는 가격이 높다.	국내에도 산타마리아노벨라[ORG] 제품을 찾아볼 수는 있지만, 현지에서 구매하는 것보다는 가격이 높다.
중간단 외부에 장착된 가속모터 역시 6개로 은하 3호와 똑같았다.	중간단 외부에 장착된 가속모터 역시 6개[NOH]로 은하 3호[NOH]와 똑같았다.
‘업무 재부팅(Rebooting Work)’의 저자 메이너드웹은 이렇게 말한다.	‘업무 재부팅(Rebooting Work)’의 저자 메이너드웹은 이렇
2005년 이후 외부 FA영입은 없었지만, 꼭 필요한 내부 선수에게는 대형 계약을 안기며 강한 저력을 유지해왔다.	2005년[DAT] 이후 외부 FA영입은 없었지만, 꼭 필요한 내부 선수에게는 대형 계약을 안기며 강한 저력을 유지해왔다.
특히 지석진은 이광수의 컴퓨터에서 야동을	특히 지석진[PER]은 이광수[PER]의 컴퓨터에서 야동을
BNK금융그룹 부산은행이 고객 밀착경영과 해외시장 개척으로 금융 서비스 변신에 나섰다.	BNK금융그룹 부산은행[ORG]이 고객 밀착경영과 해외시장 개척으로 금융 서비스 변신에 나섰다.
위스타트는 ‘가난의 대물림을 끊자’는 취지로 저소득층 아동에게 복지·교육·건강 서비스를 지원하는 운동이다.	위스타트[POH]는 ‘가난의 대물림을 끊자’는 취지로 저소득층 아동에게 복지·교육·건강 서비스를 지원하는 운동이다.
조병진씨(중앙대교수)가 15년만에 연극계 복귀를 선언하며 연출을 맡은 「샛바람」은 전쟁에 휩쓸린 세 어린이가 바다 한가운데서 맨 손으로 전쟁무기들과 대결하는 과정을 담고 있다.	조병진[PER]씨(중앙대교수[ORG])가 15년[DUR]만에 연극계 복귀를 선언하며 연출을 맡은 「샛바람」은 전쟁[POH]에 휩쓸린 세 어린이가 바다 한가운데서 맨 손으로 전쟁무기들과 대결하는 과정을 담고 있다.
올해 최고의 기대작 리니지 이터널도 비공개 테스트를 통해 이용자들을 만날 계획이다.	올해 최고의 기대작 리니지 이터널[POH]도 비공개 테스트를 통해 이용자들을 만날 계획이다.
10일 서울시의회 도시계획관리위원회는 6억 원 이상 9억 원 미만의 주택을 매매할 경우 거래가의 0.9% 이내인 현행 부동산 중개보수요율을 0.5% 이내로 조정하는 등의 내용으로 관련 조례 개정안을 의결했다.	10일[DAT] 서울시[ORG]의회 도시계획관리위원회는 6억 원[MNY] 이상 9억 원[MNY] 미만의 주택을 매매할 경우 거래가의 0.9%[PNT] 이내인 현행 부동산 중개보수요율을 0.5%[PNT] 이내로 조정하는 등의 내용으로 관련 조례 개정안을 의결했다.
정확히 15분 뒤에 돌아와 다시 숫자를 다시 보니 83.2(%)로 올라가 있었다.	정확히 15분[DUR] 뒤에 돌아와 다시 숫자를 다시 보니 83.2[PNT](%)로 올라가 있었다.
‘줴이’ 딥러닝 할 때 ‘돌바람’ 개발자는 생계용 SW 개발	‘줴이’ 딥러닝[POH] 할 때 ‘돌바람’ 개발자는 생계용 S
그는 지난해 5월 한국을 방문, 우리 국방부와 북한 핵문제를 협의하는 등 북한의 핵문제에 대해 단호한 입장을 취하고 있다.	그는 지난해 5월[DAT] 한국[LOC]을 방문, 우리 국방부와 북한[ORG] 핵문제를 협의하는 등 북한[ORG]의 핵문제에 대해 단호한 입장을 취하고 있다.
오른손으로 최고 시속이 145㎞ 정도 나오지만 왼손으로는 135㎞ 정도다.	오른손으로 최고 시속이 145㎞ 정도 나오[NOH]지만 왼손으로는 135㎞ 
"이제는 눈 앞에 다가온 선덜랜드와의 프리미어리그와 곧 재개될 유럽축구연맹(UEFA) 유로파리그도 준비해야 한다""고 덧붙였다."	"이제는 눈 앞에 다가온 선덜랜드[ORG]와의 프리미어리그[POH]와 곧 재개될 유럽축구연맹[ORG](UEFA[ORG]) 유로파리그[POH]도 준비해야 한다""고 덧붙였다."
보건복지부에 따르면 국민안심병원은 메르스와 증상이 비슷한 호흡기질환 환자를 다른 환자와 분리 치료해 병원 내 감염 위험을 방지하자는 취지다.	보건복지부[ORG]에 따르면 국민안심병원은 메르스[POH]와 증상이 비슷한 호흡기질환 환자를 다른 환자와 분리 치료해 병원 내 감염 위험을 방지하자는 취지다.
‘힐링캠프’ 유준상, “ 이 방송은 유재석에게 바치는 방송” 왜?	‘힐링캠프’ 유준상[POH], “ 이 방송은 유재[PER]석에게 바치는 방송” 왜
표창원, 설전 영상 SNS 게재…장제원 “악의적 편집” 표창원 “편집 불가능”	표창원[PER], 설전 영상 SNS 게재…장제원 “악의적[PER] 편집” 표창원 “편집 불가능”
또 통합문화 바우처인 ‘문화누리카드’ 대상자를 전년 대비 7.6% 늘려 155만 명 이상의 기초·차상위 계층이 문화예술 관람의 혜택을 받게 된다.	또 통합문화 바우처인 ‘문화누리카드’ 대상자[POH]를 전년 대비 7.6% 늘려 155만 명 이[PNT]상의 기초·차상[NOH]위 계층이 문화예술 관람의 혜택을 받게 된다.
오바마의 행정명령으로 북한은 핵과 미사일을 개발하고, 인권을 유린하고, 악랄한 사이버 공격까지 감행하는 악(惡)의 존재로 더욱 굳어지게 됐다.	오바마[PER]의 행정명령으로 북한[ORG]은 핵과 미사일을 개발하고, 인권을 유린하고, 악랄한 사이버 공격까지 감행하는 악(惡)의 존재로 더욱 굳어지게 됐다.
3000안타 이후 갑작스러운 부진에 좌절하던 2012년 스프링캠프 때 장훈의 사진이 새겨진 티셔츠를 입고 나와 스스로를 채찍질했다.	3000안타[NOH] 이후 갑작스러운 부진에 좌절하던 2012년[DAT] 스프링캠프 때 장훈[PER]의 사진이 새겨진 티셔츠를 입고 나와 스스로를 채찍질했다.
브루스 카스만 JP모건 수석이코노미스트는 “달러화 강세는 미국 제조업에 타격을 주고 디플레를 발생시킨다”고 말했다.	브루스 카스만[PER] JP모건[ORG] 수석이코노미스트는 “달러화 강세는 미국 제조업에[LOC] 타격을 주고 디플레를 발생시킨다”고 말했다.
조니워커·발렌타인 등 스코틀랜드산 위스키 가격도 당장 떨어지지는 않는다.	조니워커[POH]·발렌타인[POH] 등 스코틀랜드산 위스키 가격도 당장 떨어지지는 않는다.
2번 사수는 ‘분위기 메이커’ 구본찬, 3번 사수 자리는 승부사 이승윤이 맡는다.	2번[NOH] 사수는 ‘분위기 메이커’ 구본찬, 3번 사수 자리는[PER] 승부사[NOH] 이승윤이 맡는다.
하지만 배우로서 매력적 연기를 선보였던 전작 ‘맨 오브 라만차’ ‘지킬 앤 하이드’와 비교했을 때 조승우만의 매력이 크게 빛나진 않아 아쉬웠다.	하지만 배우로서 매력적 연기[LOC]를 선보였던 전작 ‘맨 오브 라만차’ ‘지킬[POH] 앤 하이드’와 비교했을 때 조승우만의[POH] 매력이 크게 빛나진 않아 아쉬웠다[PER].
쌍용차 오토매니저 공개모집은 인터넷을 통해 이뤄지며, 자세한 내용 확인 또는 지원을 원하는 사람은 쌍용차 홈페이지(www.smotor.com) 또는 채용 홈페이지(www.smotorecruit.co.kr)를 방문하면 된다.	쌍용차[ORG] 오토매니저 공개모집은 인터넷을 통해 이뤄지며, 자세한 내용 확인 또는 지원을 원하는 사람은 쌍용차[ORG] 홈페이지(www.smotor.com[POH]) 또는 채용 홈페이지(www.smotorecruit.co.kr[POH])를 방문하면 된다.
캐논코리아컨슈머이미징(대표 강동환)는 18일 서울 그랑서울 나인트리컨벤션에서 2016년 상반기 전략 신제품 최고급기 및 중급기 DSLR 카메라 2종을 공개했다.	캐논코리아컨슈머이미징[ORG](대표 강동환[PER])는 18일[DAT] 서울 그랑서울 나인트리컨벤션[LOC]에서 2016년[DAT] 상반기 전략 신제품 최고급기 및 중급기 DSLR 카메라 2종[NOH]을 공개했다.
훨씬 더 커서 156평방마일의 예상을 깨고 그 3배 이상인 460평방 마일을 불태웠다고 말했다.	훨씬 더 커서 156평방마일[NOH]의 예상을 깨고 그 3배[PNT] 이상인 460평방 마일[NOH]을 불태웠다고 말했다.
또 생활 화학제품의 유해성분 기준치를 검사할 수 있는 공식 기관이 한국환경산업기술원을 포함해 7개뿐인 것도 문제다.	또 생활 화학제품의 유해성분 기준치를 검사할 수 있는 공식 기관이 한국환경산업기술원[ORG]을 포함해 7개[NOH]뿐인 것도 문제다.
남성밴드 씨엔블루(정용화 이종현 강민혁 이정신)가 신곡 ‘이렇게 예뻤나’로 돌아온다.	남성밴드 씨엔블루[ORG](정용화[PER] 이종현[PER] 강민혁[PER] 이정신[PER])가 신곡 ‘이렇게 예뻤나’로 돌아[POH]온다.
올 시즌 불혹의 나이에도 27홈런을 때리며 한·일통산 600홈런을 기록했을 뿐만 아니라 타율 0.303(542타수 164안타), 118타점의 호성적을 올려 수상 자격은 충분하다.	올 시즌 불혹[NOH]의 나이에도 27홈런[NOH]을 때리며 한[LOC]·일[LOC]통산 600홈런[NOH]을 기록했을 뿐만 아니라 타율 0.303[PNT](542타수[NOH] 164안타[NOH]), 118타점[NOH]의 호성적을 올려 수상 자격은 충분하다.
스프링캠프 때 머리를 오렌지색으로 염색한 문제로 갈등을 빚은 김성근 감독에게 앙금이 남아 있지만 효심이 깊은 로저스가 어머니 뜻을 저버리기 힘들어 마운드에 오르고 있다는 이야기였다.	스프링캠프 때 머리를 오렌지색으로 염색한 문제로 갈등을 빚은 김성근[PER] 감독에게 앙금이 남아 있지만 효심이 깊은 로저스[PER]가 어머니 뜻을 저버리기 힘들어 마운드에 오르고 있다는 이야기였다.
유인나, 아이유와 단둘이 유럽 여행 ‘눈길’	유인나[PER], 아이유[PER]와 단둘이 유럽[LOC] 여행 ‘눈길’
이와 함께 북한 당국은 “조선 반도에서 전쟁이 일어난다면 인구의 48.2%가 밀집된 서울과 경기도 지역에서만 전쟁 발발 하루 동안 100만 명 이상의 사상자가 날 것”이라며 “경제적 측면에서 볼 때도 70%를 외자에 의존하고 있는 남조선 경제가 회생 불능의 참혹한 파괴를 당하리라는 것은 삼척동자도 알 수 있다”고 위협했다.	이와 함께 북한[ORG] 당국은 “조선 반도에서 전쟁[LOC]이 일어난다면 인구의 48.2%가 밀집된[PNT] 서울과 경기도[LOC] 지역에서[LOC]만 전쟁 발발 하루 동안 100만 명 이상의 사[NOH]상자가 날 것”이라며 “경제적 측면에서 볼 때도 70%를 외자에 의존하고 있는 남조[PNT]선 경제가 회생 불능의 참혹한 파[ORG]괴를 당하리라는 것은 삼척동자도 알 수 있다”고 위협했다.
외국인이 7일 연속 사들인 주식은 2조250억원에 달한다.	외국인이 7일[DAT] 연속 사들인 주식은 2조250억원[MNY]에 달한다.
이 가족의 딱한 소식은 대한적십자사 전북지사에 알려졌다.	이 가족의 딱한 소식은 대한적십자사[ORG] 전북[LOC]지사에 알려졌다.
최 감독이 앞으로 감수해야 할 몫이다.	최[PER] 감독이 앞으로 감수해야 할 몫이다.
김종진 연구원은 이에 대해 “과거에는 학생들이 ‘민주화’ 같은 거대 담론을 논의했다면, 이제는 주로 자신과 관련된 문제를 제기하는 사회가 됐다.	김종진[PER] 연구원은 이에 대해 “과거에는 학생들이 ‘민주화’ 같은 거대 담론을 논의했다면, 이제는 주로 자신과 관련된 문제를 제기하는 사회가 됐다.
미국은 전술핵을 갖다 놓지 않더라도 기존의 핵전력으로 대한(對韓) 핵우산 공약을 이행하는 데 문제가 없다고 보고 있다.	미국[ORG]은 전술핵을 갖다 놓지 않더라도 기존의 핵전력으로 대한(對韓) 핵우산 공약을 이행하는 데 문제가 없다고 보고 있다.
지난해 4월 한·중·일 국제회의 참석차 중국 베이징을 방문했다가 호텔에서 쓰러져 별세했다.	지난해 4월[DAT] 한·중·일[ORG] 국제회의 참석차 중국 베이징[LOC]을 방문했다가 호텔에서 쓰러져 별세했다.
하지만 축구팬은 6억 명에 이른다.	하지만 축구팬은 6억 명[NOH]에 이른다.
김한철 기보 이사장은 “실패했지만 우수한 기술력을 갖춘 성실한 실패자들이 다시 일어설 수 있도록 재기 지원에 적극적으로 나서겠다”고 말했다.	김한철[PER] 기보 이사장은 “실패했지만 우수한 기술력을 갖춘 성실한 실패자들이 다시 일어설 수 있도록 재기 지원에 적극적으로 나서겠다”고 말했다.
이에 대해 기업인들의 해외원정 도박을 수사 중인 서울중앙지검 강력부는 16일 “프로야구 선수들의 도박 의혹에 대해서 검찰이 확인한 내용과 진술은 없다”고 밝혔다.	이에 대해 기업인들의 해외원정 도박을 수사 중인 서울중앙지검[ORG] 강력부는 16일[DAT] “프로야구 선수들의 도박 의혹에 대해서 검찰이 확인한 내용과 진술은 없다”고 밝혔다.
5.1초 만에 시속 100km… 기아車 ‘스팅어’ 베일벗다	5.1초[NOH] 만에 시속 100km[NOH]… 기아車 ‘스팅[ORG]어’ 베일벗다
그 바탕에는 ‘호주 와인의 아버지’로 불리는 앤드루 카이야드(55·위 사진)가 있다.	그 바탕에는 ‘호주 와인의 아버지’로 불리[PER]는 앤드루 카이야드(55·위 사진)[PER]가 있다[NOH].
윤정희, '가을 만남'부터 '봄 결혼'까지	윤정희[PER], '가을 만남'부터 '봄 결혼'까지
탁월한 갈등 중재자 1970~80년대 NFL에서는 선수와 구단 경영진 사이에는 임금 등의 문제로 갈등이 잦았다.	탁월한 갈등 중재자 1970~80년대[DUR] NFL[POH]에서는 선수와 구단 경영진 사이에는 임금 등의 문제로 갈등이 잦았다.
에어리얼은 스키 기술이 많이 필요한 건 아니지만 자유롭게 가지고 놀려면 일단 밸런스를 알아야 하거든요.	에어리얼[POH]은 스키 기술이 많이 필요한 건 아니지만 자유롭게 가지고 놀려면 일단 밸런스를 알아야 하거든요.
기성용은 18일(한국시간) 사우스햄턴과의 잉글랜드 프리미어리그 경기 도중 교체되는 과정에서 프란체스코 귀돌린 감독이 청한 악수를 무시했다.	기성용[PER]은 18일[DAT](한국[LOC]시간) 사우스햄턴[ORG]과의 잉글랜드 프리미어리그[POH] 경기 도중 교체되는 과정에서 프란체스코 귀돌린[PER] 감독이 청한 악수를 무시했다.
고음 유사해 동일인 가능성 높아 조동욱 충북도립대 의료전자학과 교수는 생체신호 분석 전문가로 가수 김범수, 박정현의 목소리를 분석한 사례가 있다.	고음 유사해 동일인 가능성 높아 조동욱[PER] 충북도립대 의료전자학과[ORG] 교수는 생체신호 분석 전문가로 가수 김범수[PER], 박정현[PER]의 목소리를 분석한 사례가 있다.
검찰 수사 과정에서 이 회장의 조세포탈 혐의 액수는 크게 줄어들었지만 그 대신 회삿돈 횡령과 배임 혐의가 새로 추가됐다.	검찰 수사 과정에서 이[PER] 회장의 조세포탈 혐의 액수는 크게 줄어들었지만 그 대신 회삿돈 횡령과 배임 혐의가 새로 추가됐다.
-모듈 트랜스포터 1축당 35톤까지 들 수 있다고 한다.	-모듈 트랜스포터 1축[NOH]당 35톤[NOH]까지 들 수 있다고 한다.
LG전자는 초소형 포토 프린터 ‘포켓포토’ 신제품을 21일 선보였다.	LG전자[ORG]는 초소형 포토 프린터 ‘포켓포토’ 신제품[POH]을 21일 선보였다.
자정 전에 선적하려면 당초 계획의 절반 또는 3분의 1에 불과한 12~13시간 안에 작업을 끝내야 한다.	자정[TIM] 전에 선적하려면 당초 계획의 절반 또는 3분의 1[PNT]에 불과한 12[NOH]~13시간[TIM] 안에 작업을 끝내야 한다.
이어 첸은 “뮤지컬 ‘인더하이츠’ 출연은 사실 큰 도전이었다”며 “엑소 멤버 중 백현이 뮤지컬에 출연한 경험이 있는데 그래서 도움을 많이 받고 있다.	이어 첸[PER]은 “뮤지컬 ‘인더하이츠’ 출연은 사실 큰 도[POH]전이었다”며 “엑소 멤버 중 백현이 뮤지컬에 출연한 경험이 있는데 그[ORG]래서 도움을[PER] 많이 받고 있다.
그리고 북한을 끌어들여 미중 간 전략적 완충지대를 공고히 하는 계기로 삼고 있지요.	그리고 북한[ORG]을 끌어들여 미중 간 전략적 완충지대를 공고히 하는 계기로 삼고 있지요.
2012년과 비교해 볼때 병장 월급은 10만8000원에서 21만6000원으로 5년만에 2배 인상되는 셈이다.	2012년[DAT]과 비교해 볼때 병장 월급은 10만8000원[MNY]에서 21만6000원[MNY]으로 5년[DUR]만에 2배[PNT] 인상되는 셈이다.
연평해전 6월 11일 개봉…연평해전과 월드컵 응원을 함께 다룬 까닭은?	연평해전[POH] 6월 11일[DAT] 개봉…연평해전과 월드컵[POH] 응원을 함께 다룬 까닭은?
월드베이스볼클래식(WBC) 대표팀의 일본 오키나와 전지훈련에 17일 합류한 이대호(35·롯데·사진)를 환영하기 위해서다.	월드베이스볼클래식[POH](WBC[POH]) 대표팀의 일본[LOC] 오키나와[LOC] 전지훈련에 17일[DAT] 합류한 이대호[PER](35[NOH]·롯데[ORG]·사진)를 환영하기 위해서다.
육상 풍력발전 151MW 개발사업은 마을재정자립사업 100MW, 향토기업 참여사업 51MW 등으로 나눠 개발한다.	육상 풍력발전 151MW[NOH] 개발사업은 마을재정자립사업 100MW[NOH], 향토기업 참여사업 51MW[NOH] 등으로 나눠 개발한다.
켈리 교수가 BBC와 화상 인터뷰를 하던 당시 두 아이와 부인 김정아 씨는 거실에서 TV로 BBC를 보고 있었다.	켈리[PER] 교수가 BBC[POH]와 화상 인터뷰를 하던 당시 두 아이[NOH]와 부인 김정아[PER] 씨는 거실에서 TV로 BBC[POH]를 보고 있었다.
‘블루 드래곤’ 이청용, 결승골 쐈다…파듀 감독 “이청용이 아시아 깨웠다”	‘블루 드래곤’ 이청용[PER], 결승골 쐈다…파[PER]듀 감독 “이청용이 아시아 깨웠[PER]다”
더블케이에게 음악도 들려주고. 그렇게 여기까지 왔다”고 힘들었던 과거를 회상했다.	더블케이[PER]에게 음악도 들려주고. 그렇게 여기까지 왔다”고 힘들었던 과거를 회상했다.
정용화와 양동근은 만화적 상상력이 돋보이는 티저에서 능청스러운 연기를 선보였다.	정용화[PER]와 양동근[PER]은 만화적 상상력이 돋보이는 티저에서 능청스러운 연기를 선보였다.
멜서더스조차 그녀를 『오직 돈과 섹스, 음식과 잠자는 것에만 관심을 보인다』고 빈정거렸다.	멜서더스[PER]조차 그녀를 『오직 돈과 섹스, 음식과 잠자는 것에만 관심을 보인다』고 빈정거렸다.
한국의 국가지속성장지수가 경제협력개발기구(OECD) 조사 대상 28개 국가 중 24위인 것으로 나타났다.	한국[ORG]의 국가지속성장지수가 경제협력개발기구[ORG](OECD[ORG]) 조사 대상 28개[NOH] 국가 중 24위[NOH]인 것으로 나타났다.
어제는 현재 살고 있는 브리즈번 로건시티 의 시장님이 주민들과 축하 파티를 열어줘 함께 했다.	어제는 현재 살고 있는 브리즈번 로건시티[LOC] 의 시장님이 주민들과 축하 파티를 열어줘 함께 했다.
같은 기간 미국이 30%, 영국이 28% 증가한 것보다 훨씬 많은 수준이다.	같은 기간 미국[ORG]이 30%[PNT], 영국[ORG]이 28%[PNT] 증가한 것보다 훨씬 많은 수준이다.
슈퍼주니어 은혁, ‘라디오스타’ MC들 ‘병문안’ 언급에 진땀…‘아이휴’(?)	슈퍼주니어[ORG] 은혁[PER], ‘라디오스타’ MC들[POH] ‘병문안’ 언급에 진땀…‘아이휴’(?)
“내년 2월 열리는 뉴저지 주 바둑대회에 나가 여성부 우승하는 게 목표입니다.	“내년 2월 열리는 뉴[DAT]저지 주 바둑대회[LOC]에 나가 여성부 우승하는 게 목표입니다.
정부 지원금을 합쳐 모두 23억 원이 어린이집 조성에 투입됐다.	정부 지원금을 합쳐 모두 23억 원[MNY]이 어린이집 조성에 투입됐다.
한 학기 동안 시험 없이 자유롭게 진로를 탐색해본다는 취지는 나쁘지 않았지만 교육 양극화는 심해졌다.	한 학기[NOH] 동안 시험 없이 자유롭게 진로를 탐색해본다는 취지는 나쁘지 않았지만 교육 양극화는 심해졌다.
[Money&Life]어린이날 장난감 대신 적금 선물, 우리아이 행복한 미래를…	[Money&Life]어린이날 장난감 대신 적금 선물, 우리[DAT]아이 행복한 미래를…
양현종 개막전 선발 등판…'메이저리그행 무산' 恨 풀까	양현종[PER] 개막전 선발 등판…'메이저리그행 무산
현재 BAT의 미국 점유율은 5.3%에 불과하다.	현재 BAT[ORG]의 미국[LOC] 점유율은 5.3%[PNT]에 불과하다.
프로야구 원년부터 지난해까지 7전 4선승제로 치러지는 한국시리즈에서 1, 2, 3차전을 연거푸 이긴 경우는 7차례로 모두 3연승을 거둔 팀들이 한국시리즈 우승컵을 차지했다.	프로야구 원년부터 지난해까지 7전[NOH] 4선승[NOH]제로 치러지는 한국[LOC]시리즈에서 1[NOH], 2[NOH], 3차[NOH]전을 연거푸 이긴 경우는 7차례[NOH]로 모두 3연승[NOH]을 거둔 팀들이 한국[LOC]시리즈 우승컵을 차지했다.
현재 중소기업으로서는 선도적인 속도 분당 180m의 기술까지 확보하고 있으며, 기술 연구소에서는 초고속용 엘리베이터를 위한 구동장치, 전기 장치 등을 개발 중이다.	현재 중소기업으로서는 선도적인 속도 분당 180m[NOH]의 기술까지 확보하고 있으며, 기술 연구소에서는 초고속용 엘리베이터를 위한 구동장치, 전기 장치 등을 개발 중이다.
이것은 서울 정도 크기의 작은 중계무역항을 세계에서 손꼽히는 도시국가로 탈바꿈시킨 원동력이었다.	이것은 서울[LOC] 정도 크기의 작은 중계무역항을 세계에서 손꼽히는 도시국가로 탈바꿈시킨 원동력이었다.
김 부장판사는 “1심에서는 증인 진술 자체만으로 유죄를 인정했다”며 “재판부가 직접 들으면 진술의 신빙성을 명확하게 알 수 있지 않나 생각한다”고 설명했다.	김[PER] 부장판사는 “1심에서는 증[NOH]인 진술 자체만으로 유죄를 인정했다”며 “재판부가 직접 들으면 진술의 신빙성을 명확하게 알 수 있지 않나 생각한다”고 설명했다.
그 때 건물 위에서 여성을 구하기 위해 소방관 한 명이 줄을 타고 조심스레 접근하기 시작한다.	그 때 건물 위에서 여성을 구하기 위해 소방관 한 명[NOH]이 줄을 타고 조심스레 접근하기 시작한다.
최씨는 “물을 마셔도 소변이 안 나올 만큼 더웠다”고 돌이켰다.	최[PER]씨는 “물을 마셔도 소변이 안 나올 만큼 더웠다”고 돌이켰다.
술을 마시고도 운전을 하는 가장 큰 이유로는 “술을 많이 먹지 않아 이상이 없다고 느껴서”라는 답변이 22.7%(34명)로 가장 많았다.	술을 마시고도 운전을 하는 가장 큰 이유로는 “술을 많이 먹지 않아 이상이 없다고 느껴서”라는 답변이 22.7%(34명)로 가장[PNT] 많
1차 투표에서는 강병수(1번·행정학부) 교수가 5표, 김영상(3번·생화학과) 교수가 16표, 홍성권(4번·고분자공학과) 교수가 8표, 오덕성(5번·건축학과) 교수가 20표를 얻어 김·오 교수가 결선에 올랐다.	1차[NOH] 투표에서는 강병수[PER](1번[NOH]·행정학부[ORG]) 교수가 5표[NOH], 김영상[PER](3번[NOH]·생화학과) 교수가 16표[NOH], 홍성권[PER](4번[NOH]·고분자공학과[ORG]) 교수가 8표[NOH], 오덕성[PER](5번[NOH]·건축학과[ORG]) 교수가 20표[NOH]를 얻어 김[PER]·오[PER] 교수가 결선에 올랐다.
구미시산악협회는 이를 위해 구미시의 시(市) 승격 40주년(2018년 2월 15일)에 세계최고봉 7곳을 모두 오른다는 계획을 세웠다.	구미시산악협회[ORG]는 이를 위해 구미시[ORG]의 시(市) 승격 40주년(201[NOH]8년 2월 15일)에 세계[DAT]최고봉 7곳을 모두 오[NOH]른다는 계획을 세웠다.
내무부의 경우, 국방부와 함께 장­차관이 모두 바뀐 부에 해당한다.	내무부[ORG]의 경우, 국방부[ORG]와 함께 장­차관이 모두 바뀐 부에 해당한다.
[‘창조경제’ 현장을 가다]<7>KT 경기혁신센터	[‘창조경제’ 현장을 가다]<7>KT 경기혁신센터
먼저 전속계약 기간이 5년이지만 계약체결 시점을 데뷔일로 정한 점 연예활동이 불가능한 기간이 30일을 초과할 때 그 기간만큼 연장할 수 있도록 한 점 등에 주목했다.	먼저 전속계약 기간이 5년[DUR]이지만 계약체결 시점을 데뷔일로 정한 점 연예활동이 불가능한 기간이 30일[DUR]을 초과할 때 그 기간만큼 연장할 수 있도록 한 점 등에 주목했다.
금감원은 다른 계좌로부터 입금된 돈을 찾을 경우 30분 정도 기다려야 인출할 수 있도록 하는 방안, 현금자동입출금기(ATM) 인출 한도를 축소하는 방안 등을 검토하고 있다.	금감원[ORG]은 다른 계좌로부터 입금된 돈을 찾을 경우 30분[NOH] 정도 기다려야 인출할 수 있도록 하는 방안, 현금자동입출금기(ATM) 인출 한도를 축소하는 방안 등을 검토하고 있다.
소프트뱅크에 남는 게 안정적인 선택이겠지만 이대호의 시선은 미국을 향하고 있다.	소프트뱅크[ORG]에 남는 게 안정적인 선택이겠지만 이대호[PER]의 시선은 미국[ORG]을 향하고 있다.
특히, 서울 소공동 본점과 연결된 영플라자 외벽에는 어두운 도시를 환하게 밝히는 ‘미디어 파사드’를 설치했다.	특히, 서울 소공동[LOC] 본점과 연결된 영플라자 외벽에는 어두운 도시를 환하게 밝히는 ‘미디어 파사드’를 설치[POH]했다.
가격 차이가 무려 35배나 된다.	가격 차이가 무려 35배[PNT]나 된다.
벤츠코리아 네트워크 개발부 이상국 상무는 “포항 전시장 및 서비스센터를 확장 이전함으로써 포항은 물론 경북 지역 고객들에게 다양하고 우수한 제품과 서비스를 제공하게 됐다”면서 “전국에서 여섯 번째, 대구경북 지역에서 최초 스타클래스 인증 중고차 전시장도 함께 열어 다양해지는 고객층을 만족시킬 수 있는 벤츠로 나아가도록 노력하겠다”고 말했다.	벤츠코리아 네트워크 개발부[ORG] 이상국[PER] 상무는 “포항 전시장 및[LOC] 서비스센터를 확장 이전함으로써 포항은 물론 경[LOC]북 지역 고객[LOC]들에게 다양하고 우수한 제품과 서비스를 제공하게 됐다”면서 “전국에서 여섯 번째, 대구경북 지역에서 최초 스타클래스 인[LOC]증 중고차 전시장도 함께 열어 다양해지는 고객층을 만족시킬 수 있는 벤츠로 나아가도록 노력하겠다”[ORG]고 말했다.
7월 16일 열리는 첫 번째 강연에는 ‘종의 기원’과 ‘7년의 밤’ 등의 작가 정유정이 ‘우리는 왜 인간 본성의 악을 주목해야 하는가’를 주제로 강연한다.	7월 16일[DAT] 열리는 첫 번째 강연에는 ‘종의 기원’과 ‘7[POH]년의 밤’ 등의 작가 정유정이 ‘우리[POH]는 왜 인간 본성의 악을 주목해[PER]야 하는가’를 주제로 강연한다.
(전쟁에서) 얻은 교훈을 모독하는 것인가. 질문을 바꿔 전쟁의 교훈은 뭐라고 생각하나.” 이번에는 아베 총리가 화를 냈다.	(전쟁에서) 얻은 교훈을 모독하는 것인가. 질문을 바꿔 전쟁의 교훈은 뭐라고 생각하나.” 이번에는 아베 총리가 화[PER]를 냈다.
이날 선발로 예정된 이해창(30)이 빗방울을 원망스럽게 쳐다보자 강성우 배터리코치는 “(이)해창이 너는 경기를 더 뛰어야하는 입장이니 많이 아쉬워해야 한다”면서 제자의 올바른 자세에 흐뭇함을 나타내기도 했다.	이날 선발로 예정된 이해창[PER](30[NOH])이 빗방울을 원망스럽게 쳐다보자 강성우[PER] 배터리코치는 “(이)해창이 너는 경[PER]기를 더 뛰어야하는 입장이니 많이 아쉬워해야 한다”면서 제자의 올바른 자세에 흐뭇함을 나타내기도 했다.
평택시에서는 현대건설이 ‘힐스테이트 평택 2차’를 공급하고 있다.	평택시[LOC]에서는 현대건설[ORG]이 ‘힐스테이트 평택 2차’를[LOC] 공급[NOH]하고 있다.
오리온은 과자 포장재의 빈 공간을 줄이고 껌 용량은 늘리는 등 4차 포장재 개선 프로젝트를 진행한다고 19일 밝혔다.	오리온[ORG]은 과자 포장재의 빈 공간을 줄이고 껌 용량은 늘리는 등 4차[NOH] 포장재 개선 프로젝트를 진행한다고 19일[DAT] 밝혔다.
